name,dense_layers,nodes,dense_nodes,conv_layers,dropout,loss,accuracy
1_dense-128_nodes-128_dense_nodes-2_conv-0.0_dropout,1,128,128,2,0.0,0.00011168134369654581,1.0
1_dense-128_nodes-128_dense_nodes-2_conv-0.2_dropout,1,128,128,2,0.2,0.0012640663189813495,0.999848484992981
2_dense-128_nodes-128_dense_nodes-2_conv-0.0_dropout,2,128,128,2,0.0,0.00010218148963758722,1.0
2_dense-128_nodes-128_dense_nodes-2_conv-0.2_dropout,2,128,128,2,0.2,0.0013141101226210594,0.9995454549789429
1_dense-128_nodes-128_dense_nodes-1_conv-0.0_dropout,1,128,128,1,0.0,1.236233401868958e-06,1.0
1_dense-128_nodes-128_dense_nodes-1_conv-0.2_dropout,1,128,128,1,0.2,0.21311083436012268,0.993030309677124
2_dense-128_nodes-128_dense_nodes-1_conv-0.0_dropout,2,128,128,1,0.0,6.608339845115552e-06,1.0
2_dense-128_nodes-128_dense_nodes-1_conv-0.2_dropout,2,128,128,1,0.2,0.010145899839699268,1.0
1_dense-128_nodes-256_dense_nodes-1_conv-0.0_dropout,1,128,256,1,0.0,2.11706410482293e-05,1.0
1_dense-256_nodes-128_dense_nodes-1_conv-0.0_dropout,1,256,128,1,0.0,3.419634231249802e-05,1.0
1_dense-256_nodes-256_dense_nodes-1_conv-0.0_dropout,1,256,256,1,0.0,6.589513941435143e-05,1.0
2_dense-128_nodes-256_dense_nodes-1_conv-0.0_dropout,2,128,256,1,0.0,0.0023236845154315233,0.9996969699859619
2_dense-256_nodes-128_dense_nodes-1_conv-0.0_dropout,2,256,128,1,0.0,6.510505500045838e-06,1.0
2_dense-256_nodes-256_dense_nodes-1_conv-0.0_dropout,2,256,256,1,0.0,2.606092948553851e-06,1.0
1_dense-128_nodes-256_dense_nodes-2_conv-0.0_dropout,1,128,256,2,0.0,0.0002677224692888558,0.999848484992981
1_dense-256_nodes-128_dense_nodes-2_conv-0.0_dropout,1,256,128,2,0.0,2.2173358956933953e-05,1.0
1_dense-256_nodes-256_dense_nodes-2_conv-0.0_dropout,1,256,256,2,0.0,1.9976047482828108e-08,1.0
2_dense-128_nodes-256_dense_nodes-2_conv-0.0_dropout,2,128,256,2,0.0,0.018950309604406357,0.9990909099578857
2_dense-256_nodes-128_dense_nodes-2_conv-0.0_dropout,2,256,128,2,0.0,0.001265966217033565,0.999848484992981
2_dense-256_nodes-256_dense_nodes-2_conv-0.0_dropout,2,256,256,2,0.0,0.015486367978155613,0.9996969699859619
1_dense-64_nodes-64_dense_nodes-1_conv-0.0_dropout,1,64,64,1,0.0,0.04833129420876503,0.9975757598876953
1_dense-64_nodes-64_dense_nodes-2_conv-0.0_dropout,1,64,64,2,0.0,1.524567687738454e-05,1.0
1_dense-64_nodes-128_dense_nodes-1_conv-0.0_dropout,1,64,128,1,0.0,0.00013365436461754143,1.0
1_dense-64_nodes-128_dense_nodes-2_conv-0.0_dropout,1,64,128,2,0.0,9.536444849800318e-05,1.0
1_dense-64_nodes-256_dense_nodes-1_conv-0.0_dropout,1,64,256,1,0.0,3.7755733501398936e-05,1.0
1_dense-64_nodes-256_dense_nodes-2_conv-0.0_dropout,1,64,256,2,0.0,0.00048577116103842854,0.999848484992981
1_dense-128_nodes-64_dense_nodes-1_conv-0.0_dropout,1,128,64,1,0.0,0.6886788010597229,0.7277272939682007
1_dense-128_nodes-64_dense_nodes-2_conv-0.0_dropout,1,128,64,2,0.0,0.00028010582900606096,0.999848484992981
1_dense-256_nodes-64_dense_nodes-1_conv-0.0_dropout,1,256,64,1,0.0,1.4398578059626743e-05,1.0
1_dense-256_nodes-64_dense_nodes-2_conv-0.0_dropout,1,256,64,2,0.0,3.497361421585083,0.026969697326421738
2_dense-64_nodes-64_dense_nodes-1_conv-0.0_dropout,2,64,64,1,0.0,3.4973461627960205,0.026969697326421738
2_dense-64_nodes-64_dense_nodes-2_conv-0.0_dropout,2,64,64,2,0.0,0.0002925840381067246,0.999848484992981
2_dense-64_nodes-128_dense_nodes-1_conv-0.0_dropout,2,64,128,1,0.0,2.0503355244727572e-06,1.0
2_dense-64_nodes-128_dense_nodes-2_conv-0.0_dropout,2,64,128,2,0.0,0.011322066187858582,0.9978787899017334
2_dense-64_nodes-256_dense_nodes-1_conv-0.0_dropout,2,64,256,1,0.0,1.2421878636814654e-07,1.0
2_dense-64_nodes-256_dense_nodes-2_conv-0.0_dropout,2,64,256,2,0.0,0.003007009858265519,0.9996969699859619
2_dense-128_nodes-64_dense_nodes-1_conv-0.0_dropout,2,128,64,1,0.0,0.015021312981843948,0.996363639831543
2_dense-128_nodes-64_dense_nodes-2_conv-0.0_dropout,2,128,64,2,0.0,6.407255568774417e-05,1.0
2_dense-256_nodes-64_dense_nodes-1_conv-0.0_dropout,2,256,64,1,0.0,0.5334386229515076,0.7559090852737427
2_dense-256_nodes-64_dense_nodes-2_conv-0.0_dropout,2,256,64,2,0.0,9.300611964135896e-06,1.0
3_dense-64_nodes-64_dense_nodes-1_conv-0.0_dropout,3,64,64,1,0.0,4.341392923379317e-06,1.0
3_dense-64_nodes-64_dense_nodes-2_conv-0.0_dropout,3,64,64,2,0.0,1.0614829989208374e-05,1.0
3_dense-64_nodes-128_dense_nodes-1_conv-0.0_dropout,3,64,128,1,0.0,9.01485634585697e-07,1.0
3_dense-64_nodes-128_dense_nodes-2_conv-0.0_dropout,3,64,128,2,0.0,1.4326410564535763e-06,1.0
3_dense-64_nodes-256_dense_nodes-1_conv-0.0_dropout,3,64,256,1,0.0,3.545764229784254e-06,1.0
3_dense-64_nodes-256_dense_nodes-2_conv-0.0_dropout,3,64,256,2,0.0,0.0027475336100906134,0.999848484992981
3_dense-128_nodes-64_dense_nodes-1_conv-0.0_dropout,3,128,64,1,0.0,0.001592593383975327,0.9993939399719238
3_dense-128_nodes-64_dense_nodes-2_conv-0.0_dropout,3,128,64,2,0.0,0.0002869359450414777,0.999848484992981
3_dense-128_nodes-128_dense_nodes-1_conv-0.0_dropout,3,128,128,1,0.0,5.20972798767616e-06,1.0
3_dense-128_nodes-128_dense_nodes-2_conv-0.0_dropout,3,128,128,2,0.0,5.619812782242661e-06,1.0
3_dense-128_nodes-256_dense_nodes-1_conv-0.0_dropout,3,128,256,1,0.0,2.0384429717523744e-06,1.0
3_dense-128_nodes-256_dense_nodes-2_conv-0.0_dropout,3,128,256,2,0.0,0.004081245046108961,0.9993939399719238
3_dense-256_nodes-64_dense_nodes-1_conv-0.0_dropout,3,256,64,1,0.0,0.006092555820941925,0.9984848499298096
3_dense-256_nodes-64_dense_nodes-2_conv-0.0_dropout,3,256,64,2,0.0,0.002445426769554615,0.999848484992981
3_dense-256_nodes-128_dense_nodes-1_conv-0.0_dropout,3,256,128,1,0.0,6.710326374559372e-07,1.0
3_dense-256_nodes-128_dense_nodes-2_conv-0.0_dropout,3,256,128,2,0.0,0.0018105265917256474,0.999848484992981
3_dense-256_nodes-256_dense_nodes-1_conv-0.0_dropout,3,256,256,1,0.0,7.789783921907656e-06,1.0
3_dense-256_nodes-256_dense_nodes-2_conv-0.0_dropout,3,256,256,2,0.0,0.01657356694340706,0.9986363649368286
